ADDRESSNUM,ADDRESSSTR,ASSETTYPE,SIDE,WARD,Lon,Lat
394,Euclid Ave,Post & Ring,West,19,-79.41154003,43.65582571576047
248,Ossington Ave,Post & Ring,West,19,-79.42093849,43.64955344294083
160,Baldwin St,Post & Ring,North,20,-79.39990997,43.65495633091365
1151,College St,Post & Ring,East,18,-79.43441391,43.65203758972933
519,Dundas St W,Post & Ring,South,20,-79.39845085,43.65275176291473
233D,College St,Post & Ring,South,20,-79.39793587,43.65821645918916
12,Elm St,Post & Ring,North,27,-79.38244343,43.65775073741514
25,Oxley St,Post & Ring,South,20,-79.3941164,43.646417060876615
250,Dundas St W,Post & Ring,North,20,-79.38969612,43.65461478342303
1104,Bloor St W,Post & Ring,North,18,-79.43458557,43.66007931016276
262,Spadina Ave,Post & Ring,West,20,-79.39785004,43.65197548731186
483,Bloor St W,Post & Ring,West,20,-79.40742016,43.6657296
20,Albert St,Post & Ring,West,27,-79.38115597,43.653000168988456
120,St George St,Post & Ring,North,20,-79.39870834,43.66399110908014
1398A,Eglinton Ave W,Post & Ring,North,21,-79.43849087,43.69828604529516
765,Queen St W,Post & Ring,South,19,-79.40772057,43.64635495
38,St Bartholomew St,Post & Ring,West,28,-79.36295986,43.65958255555432
373C,Oakwood Ave,Post & Ring,East,15,-79.43879128,43.687642746936774
41,Bellwoods Ave,Post & Ring,East,19,-79.41141129,43.64762815850895
490,Wellington St W,Post & Ring,North,20,-79.39840794,43.64328051504387
759,Broadview Ave,Post & Ring,South,30,-79.35841084,43.676190558865585
230,Bathurst St,Post & Ring,West,19,-79.40471649,43.64890133738331
669,Danforth Ave,Post & Ring,South,30,-79.34450626,43.67889086519571
1349,Queen St W,Post & Ring,West,14,-79.43449974,43.64088917701412
720,Spadina Ave,Post & Ring,West,20,-79.40321445,43.665388118351984
2,Russell St,Post & Ring,West,20,-79.39729214,43.66082443436923
2049,Dundas St W,Post & Ring,West,14,-79.44754601,43.65182023098723
40,Price St,Rack,North,27,-79.38892365,43.68025649109214
1140,Dundas St W,Post & Ring,North,19,-79.42102432,43.649398180355035
135,St Clair Ave W,Post & Ring,South,22,-79.40098286,43.686587623209704
115,King St W,Post & Ring,South,28,-79.38282967,43.6480008
8,Dovercourt Rd,Post & Ring,West,18,-79.42175388,43.641634539337645
38,Trolley Cres,Post & Ring,West,28,-79.35497761,43.65681928303027
319,Augusta Ave,Rack,East,20,-79.4027853,43.65666403922805
197,Spadina Ave,Post & Ring,East,20,-79.39682007,43.65045396
646B,Lansdowne Ave,Post & Ring,West,18,-79.44428444,43.66212837947896
348,Dupont St,Post & Ring,North,20,-79.40926552,43.67439028713446
1089,Queen St W,Post & Ring,East,19,-79.42214012,43.64312523624335
1564A,Bloor St W,Post & Ring,North,14,-79.45363998,43.65613620729823
150,Danforth Ave,Post & Ring,North,29,-79.35755253,43.67653198361833
73,Regent Park Blvd,Post & Ring,East,28,-79.36145782,43.660172451194256
77X,Lansdowne Ave,Post & Ring,East,14,-79.43771839,43.64365318252757
55,Bloor St W,Other,South,27,-79.3887949,43.66976520354535
140,Charles St W,Post & Ring,North,27,-79.39265728,43.66749909290297
30,St Clair Ave W,Post & Ring,North,22,-79.39514637,43.68795307391258
500A,Bloor St W,Post & Ring,North,20,-79.4103384,43.66535707
461,Cherry St,Post & Ring,East,28,-79.35806751,43.653248574034734
1904,Davenport Rd,Post & Ring,North,17,-79.45475578,43.67066541553501
75,Spadina Ave,Post & Ring,East,20,-79.39493179,43.64579597569576
22,Dovercourt Rd,Post & Ring,West,18,-79.4217968,43.64175876549257
392A,King St E,Post & Ring,North,28,-79.36128616,43.65393168261403
1430,Queen St E,Post & Ring,North,32,-79.32364941,43.66479827395827
653,Dupont St,Post & Ring,South,20,-79.4212389,43.671596655108914
1818,Danforth Ave,Post & Ring,North,31,-79.31828499,43.68457042325036
1462,Bathurst St,Post & Ring,West,21,-79.41814899,43.68252212003901
51,Dockside Dr,Post & Ring,South,28,-79.36583519,43.64421217941856
642,Bloor St W,Post & Ring,North,20,-79.41497326,43.66436364806478
1966,Queen St E,Post & Ring,North,32,-79.30167675,43.66973416
5,Market St,Post & Ring,East,28,-79.37128544,43.64731762298234
740,Dufferin St,Post & Ring,West,18,-79.43274021,43.65278281373011
1631,Queen St E,Post & Ring,South,32,-79.31549549,43.66644361490711
180,Spadina Ave,Post & Ring,West,20,-79.39677715,43.64933607520834
2,Cumberland St,Post & Ring,West,27,-79.38716412,43.67085166460572
754,Bathurst St,Post & Ring,West,19,-79.41093922,43.66427051353534
1431,Bathurst St,Post & Ring,North,21,-79.41759109,43.68199451546073
20,Carlton St,Post & Ring,North,27,-79.38141346,43.66150745676822
1085,Queen St W,Post & Ring,South,19,-79.42214012,43.64343579344302
647,Queen St W,Post & Ring,South,20,-79.40355778,43.64719340832221
5C,King St E,Post & Ring,South,28,-79.37725067,43.649211864722275
121 1/2,Rusholme Rd,Rack,East,18,-79.42827702,43.653900632392634
1365,Yonge St,Post & Ring,East,22,-79.39338684,43.686587623209704
175,Bloor St W,Rack,South,20,-79.39518929,43.668213082199884
101,Davenport Rd,Post & Ring,West,27,-79.39192772,43.674017810378075
148,Ossington Ave,Post & Ring,West,19,-79.4201231,43.64756605153207
2138,Queen St E,Post & Ring,North,32,-79.293437,43.67150353180173
229,Spadina Ave,Post & Ring,East,20,-79.39724922,43.65141656266479
105,Spadina Ave,Post & Ring,East,20,-79.39527512,43.646572331168414
879,Bay St,Post & Ring,East,27,-79.38630581,43.66274929576787
609-615,Manning Ave,Post & Ring,East,19,-79.41484451,43.661196993004666
889,Bloor St W,Post & Ring,South,19,-79.42518711,43.66200419545055
161,Spadina Rd,Post & Ring,East,20,-79.40608978,43.672621
125,Fort York Blvd,Other,South,20,-79.39862251,43.639056788660525
817,Broadview Ave,Post & Ring,East,29,-79.35828209,43.678518416374914
254-256,Spadina Ave,Post & Ring,West,20,-79.39772129,43.65169602563853
8,Queen St W,Post & Ring,North,27,-79.37986851,43.65237915
53,Donlands Ave,Post & Ring,East,29,-79.33763981,43.68159105000541
51,Trolley Cres,Post & Ring,North,28,-79.35532093,43.65691242911896
1684,Danforth Ave,Post & Ring,North,31,-79.32141781,43.68388766328391
509,Queen St W,Post & Ring,South,20,-79.39862251,43.64815606521972
700,Wellington St W,Post & Ring,West,19,-79.40767765,43.64182087847368
67,Richmond St W,Post & Ring,West,28,-79.38184261,43.65098183989866
50,Simcoe St,Post & Ring,West,20,-79.3854475,43.645640703397135
1526,Queen St W,Post & Ring,North,14,-79.43883419,43.64020592009419
